,hotel_name,hotel_prices,hotel_rat,hotel_loc
548,Hotel Cliffton,"INR2,661",3.5,Mumbai
549,OYO Townhouse 105 Khar West Station,"INR1,687",3.5,Mumbai
550,HOTEL PANCHVATI RESIDENCY,"INR1,666",3.5,Mumbai
551,Hotel Shalimar Palace Mumbai,"INR2,307",3.5,Mumbai
552,Hotel Divine,INR632,3.5,Mumbai
553,OYO 11706 Hotel Avion Park,"INR1,444",3.5,Mumbai
554,Hotel Sweet Home,"INR2,194",3.5,Mumbai
555,DELUXE RESIDENCY,"INR1,366",3.5,Mumbai
556,Astha Home Kandivali Bungalow,"INR2,632",3.5,Mumbai
557,Art Residency Hotel,"INR1,947",3.5,Mumbai
558,BKC Residency,INR714,3.5,Mumbai
559,Hotel Adlon,"INR1,156",3.5,Mumbai
